,basin,Q_P,Q_ET,Q_var,Q_D,year
126,FTO,0.951989254382306,0.34431589500897275,496967.2176271636,-0.2729254474061454,2012
127,FTO,0.8606453941479976,0.1866659787032453,3513.119563635175,-0.40515282704472166,2013
128,FTO,0.9019078879867343,0.22462206381721778,192010.311870886,-0.4385632354101562,2014
129,FTO,0.8760753517919153,0.04393271473563663,25550.31716826786,-0.44835032812662295,2015
130,FTO,0.9487387920063669,0.44962959285877147,557088.7222850544,-0.3656041296211828,2016
131,FTO,0.9314593059454445,0.517581226934079,451078.56600065756,-0.25049050800057565,2017
132,FTO,0.9542727736575636,0.31840610580075757,110564.87991314991,-0.1155363159549691,2018
133,FTO,0.9629788701894092,0.4266335336296491,363264.80733309366,-0.28467005782926846,2019
134,FTO,0.9324106220020497,0.23243940546023556,26418.762271985128,-0.33231141375222545,2020
135,FTO,0.8838509741699898,-0.19265439892484956,166603.990327157,-0.5769512471123274,2021
136,FTO,0.9134738796834846,0.05380290439166514,86417.5816081914,-0.5547092274052104,2022
137,FTO,0.9363264104952489,0.07420860268140479,198714.47224828196,-0.41809836892004276,2023
138,YRS,0.7605550702499436,-0.6154513137580938,24932.341787212074,-0.6413378397869524,2001
139,YRS,0.8873590016956259,-0.477803694669769,68807.00070145297,-0.4729210593889155,2002
140,YRS,0.8538016138975768,-0.4807515477241377,83550.2979449174,-0.49605922702473787,2003
141,YRS,0.8454579294983796,-0.594623276780043,68653.38038238797,-0.7811593168169377,2004
142,YRS,0.949217948243592,-0.2750179177287453,184441.19099587793,-0.35674242461976446,2005
143,YRS,0.8794023940174458,-0.38179402442434907,86678.7882654275,-0.5182660847670315,2006
144,YRS,0.8264750648085784,-0.6446255756510026,66635.11819781993,-0.8230260741766201,2007
145,YRS,0.8818048383376854,-0.619581626482495,45525.27017020827,-0.7318080927776945,2008
146,YRS,0.9087042623256052,-0.4912562665684825,119934.51684478548,-0.5899426387059433,2009
147,YRS,0.9438244586828298,-0.3374216780506121,172987.60320824728,-0.33432246179019587,2010
148,YRS,0.9461897935415231,-0.4495823079857007,55795.77093283167,-0.5772165394848103,2011
149,YRS,0.8787193711402813,-0.3526220289543946,161095.56340753825,-0.5229614756436336,2012
150,YRS,0.696161936715574,-0.6624943671913528,2636.9171300325706,-0.8473645323965977,2013
151,YRS,0.8520220015423011,-0.5013194212756641,96095.34110135149,-0.7542014929107721,2014
152,YRS,0.6516308106955983,-0.5624669570850301,32550.918194932256,-0.8815541122413345,2015
153,YRS,0.9352108020245895,-0.13651342249740372,143956.00105606628,-0.4600989644180343,2016
154,YRS,0.9574505137800442,-0.26207378816368626,169454.42355486253,-0.33688391135642215,2017
155,YRS,0.919530088934633,-0.06473823933125582,31596.782509382807,-0.17177327559969466,2018
156,YRS,0.8702709870934899,-0.37983201302983105,112664.53365125116,-0.4628033479786194,2019
157,YRS,0.9270170670667227,-0.10351873427342666,14752.04304044835,-0.08068504474025423,2020
158,YRS,0.8334766976797451,-0.6210849099256998,117863.80686493804,-0.7716115179053009,2021
159,YRS,0.8779390228151667,-0.6804229835367783,68437.0105882055,-0.8063120024790095,2022
160,YRS,0.9641235665533137,-0.4215088272996907,50161.63399191684,-0.7041953800738998,2023
161,AMF,0.6587388330868376,-0.5581117076929313,24931.62298015511,-0.5772052320483374,2001
162,AMF,0.8480895426551229,-0.31424697997003304,84803.16427119334,-0.29748720102882814,2002
163,AMF,0.9207785956895862,-0.23827849754214112,112089.40628419447,-0.372833469334708,2003
164,AMF,0.8349747685161161,-0.4560739251361192,57971.77103441746,-0.6140561353999285,2004
165,AMF,0.91346899688487,-0.1971314980400946,210622.78155318645,-0.2674572241284768,2005
166,AMF,0.9565516801772663,0.0689219606617941,97172.65424596859,0.062349799638269914,2006
167,AMF,0.7764650529099348,-0.4362096166463662,51363.491640181215,-0.6555353414417773,2007
168,AMF,0.8319674795400739,-0.42442398128228426,74361.70814739785,-0.5816385809390139,2008
169,AMF,0.8630298192276502,-0.3169941702669871,112097.14668856641,-0.41504413215857794,2009
170,AMF,0.9235977167760192,-0.17721524215101783,223995.68605819676,-0.2307835015522926,2010
171,AMF,0.9520128078114137,-0.14510744877916387,47146.70561903487,-0.2053621742993564,2011
172,AMF,0.8428015347892086,-0.11489479051479842,159501.1881564778,-0.22528422241015786,2012
173,AMF,0.5722352998548746,-0.4891052509766641,3800.073368067794,-0.7587187776747656,2013
174,AMF,0.7459955935911565,-0.3992162095467277,73728.00455370199,-0.610790042395171,2014
175,AMF,0.577729205998134,-0.41370262218611065,39949.987128902634,-0.6740476400043206,2015
176,AMF,0.924438408554104,-0.0001310820058902076,176029.14071582194,-0.16769115409247048,2016
177,AMF,0.9676127402064741,-0.01203975298516614,193099.08184820408,-0.0851965021010585,2017
178,AMF,0.8759892653113486,-0.012225916584002103,50835.76304440644,-0.008258955914875533,2018
179,AMF,0.8696438754270437,-0.22911616735638848,136907.52793679677,-0.15806115995291414,2019
180,AMF,0.8644059699092353,-0.05242418606512001,18395.996857299408,-0.06958459440137073,2020
181,AMF,0.7073911188201043,-0.4888414073491679,120739.41710021549,-0.5926745358156569,2021
182,AMF,0.7997211683459099,-0.5216006851497472,86218.48966338897,-0.7465002673594319,2022
183,AMF,0.9749607312682915,-0.3410087735347397,104489.29685133878,-0.6220693896415301,2023
184,CSN,0.5610287116722973,-0.24664736333359794,4112.060445656699,-0.1663442842483901,2001
185,CSN,0.8848519112313158,0.2874310502720993,25983.64299599383,0.16394658124887018,2002
186,CSN,0.9450414212778955,0.39066572685034945,39099.29067298283,-0.04024064245908216,2003
187,CSN,0.8724853248133615,0.12863373384573837,16044.20677427139,-0.23706924922018963,2004
188,CSN,0.917368593156817,0.13012705464476265,110056.2482849972,-0.057412294834747926,2005
189,CSN,0.9859728080714822,0.6351957509532299,51733.6572437177,0.6075999814694465,2006
190,CSN,0.611592737653889,-0.0687504630008075,7225.3744726212535,-0.49214575094208796,2007
191,CSN,0.7690992899322318,0.08680963518743517,9920.927353887473,-0.5232335487006715,2008
