,basin,Q_P,Q_ET,Q_var,year
83,11234760,0.5894358610508454,-0.8924112748508064,25581.236445775856,2015
84,11234760,0.5883683031657317,-0.8630391616121315,146016.19272977865,2016
85,11234760,0.9068719169881035,-0.5762494426777759,105906.68448366727,2017
86,11234760,0.7798505478528029,-0.7913470973792787,58932.326782945274,2018
87,11234760,0.8363926107861185,-0.7541385046584853,69186.53496851817,2019
88,11234760,0.6791863409552805,-0.8302283001131149,32612.421840050716,2020
89,11234760,0.49254103319749626,-0.8429116383412865,46774.67910052052,2021
90,11234760,0.7650511592539723,-0.6821297429096854,24643.49585475411,2022
91,11234760,0.9389797064041596,-0.42144863305246505,60143.539840995145,2023
92,11302000,0.9428517563309655,-0.41983908254309116,65887.69798768047,2001
93,11302000,0.8872855695362795,-0.5492187446334991,110294.96951831259,2002
94,11302000,0.902908755644228,-0.5336963600142886,123348.3927026025,2003
95,11302000,0.8982267023126257,-0.6512475970693428,217076.5616769051,2004
96,11302000,0.9679622973360507,-0.4034153332691232,114295.14187222399,2005
97,11302000,0.9510628703582465,-0.3834467455312472,199107.2774023999,2006
98,11302000,0.7071518971969474,-0.6647778947575146,45998.626123908136,2007
99,11302000,0.8232549677219563,-0.7076275456338693,110660.8685436868,2008
100,11302000,0.8849038701636486,-0.5879056056246592,188909.2749728609,2009
101,11302000,0.9407514746108268,-0.4838242964074962,250940.58328105044,2010
102,11302000,0.9654949327410617,-0.3956127354714286,133010.90616848404,2011
103,11302000,0.7705336583377678,-0.42424088026450235,52496.601545339596,2012
104,11302000,0.8279281196443885,-0.5344403414439985,56131.098158904206,2013
105,11302000,0.7299718947379403,-0.6119199852022152,34188.57622489375,2014
106,11302000,0.6847972658989373,-0.5918735623202296,49472.43700903407,2015
107,11302000,0.8590551589856934,-0.20577726680226774,257467.3885620917,2016
108,11302000,0.9831713233954671,0.06116796183730567,290696.8717224464,2017
109,11302000,0.868553500047053,-0.24047844716662117,93416.07882045608,2018
110,11302000,0.8993184040385908,-0.4376387914448794,123336.91554905238,2019
111,11302000,0.7949168746924364,-0.49701236733242415,57247.155569992334,2020
112,11302000,0.8557273644491445,-0.5724846621795829,72232.35679174968,2021
113,11302000,0.8671307139941075,-0.5473949620906792,55895.34386126106,2022
114,11302000,0.9278659795074138,-0.4755741898366452,219656.4637873752,2023
115,11289650,0.9440662382800952,-0.6946900003645723,64921.286972816,2001
116,11289650,0.8383583185242531,-0.7941557133189554,118835.80133880848,2002
117,11289650,0.874798614381716,-0.7411501850286497,127612.11046336728,2003
118,11289650,0.8442164787246454,-0.8171191990542614,205060.22355957844,2004
119,11289650,0.9570540918646876,-0.5448039260331977,100687.19074844982,2005
120,11289650,0.9224489641853257,-0.6384487066004031,200718.02511571796,2006
121,11289650,0.6641343346379218,-0.8503797298909426,55982.6779502889,2007
122,11289650,0.8058638068084385,-0.8681692137995538,153216.51013752384,2008
123,11289650,0.8177450271121416,-0.8018957781785424,200109.24686925107,2009
124,11289650,0.9049507888901592,-0.704128643913844,249134.77637381238,2010
125,11289650,0.9560540763809698,-0.559467182440395,133568.2587296135,2011
