,SWE
2017-07-31,-86.15519653721412
2017-08-31,-63.27713209799725
2017-09-30,-25.71702989074919
2017-10-31,-24.487141903301676
2017-11-30,8.514127361439705
2017-12-31,-22.325762216818248
2018-01-31,-350.5909677452156
2018-02-28,26.498269281948133
2018-03-31,152.35891041631922
2018-04-30,-23.056384074585083
2018-05-31,-39.17581678202407
2018-06-30,-54.262387801362806
2018-07-31,-50.30527503425613
2018-08-31,-25.786196488439167
2018-09-30,-12.676104871859621
2018-10-31,-1.183541669871822
2018-11-30,34.90460771593612
2018-12-31,8.826516188097884
2019-01-31,562.1695474417872
2019-02-28,385.7227188868452
2019-03-31,119.9742578617761
2019-04-30,-38.73994879952261
2019-05-31,2.0013019080975027
2019-06-30,-80.9448770873928
2019-07-31,-89.85093970807998
2019-08-31,-83.90955981817217
2019-09-30,-47.08695516613659
2019-10-31,-24.000052323066484
2019-11-30,96.40347114420808
2019-12-31,67.22160026614563
2020-01-31,-898.5180785424103
2020-02-29,-1.8151426985188124
2020-03-31,47.44071042342714
2020-04-30,23.08115089303209
2020-05-31,-28.427276036162596
2020-06-30,-38.435581997640014
2020-07-31,-35.69105651694541
2020-08-31,-11.545592270455339
2020-09-30,-0.7744330494214187
2020-10-31,-0.0321485884412534
2020-11-30,11.027237570187308
2020-12-31,66.19460457711148
2021-01-31,137.8508041552342
2021-02-28,-4.639403659156159
2021-03-31,41.28559283850768
2021-04-30,-27.016949308599806
2021-05-31,-49.804972350089
2021-06-30,-78.57617912857569
2021-07-31,-61.84801261754605
2021-08-31,-25.31657134606722
2021-09-30,-7.893762544432918
2021-10-31,6.724487579976343
2021-11-30,-7.4375948093571616
2021-12-31,116.07232401584689
2022-01-31,-12.269343269947115
2022-02-28,-0.2867712360349941
2022-03-31,-7.467582629101372
2022-04-30,-0.5623076427801408
2022-05-31,-24.638851880099025
2022-06-30,-30.04271127989835
2022-07-31,-26.747621496534492
2022-08-31,-11.61494318823017
2022-09-30,-2.2365935396937413
2022-10-31,-0.43655275621974676
2022-11-30,47.7787594927136
2022-12-31,76.52199572610732
2023-01-31,106.96599940536817
2023-02-28,95.85400543254266
2023-03-31,137.22288545866462
2023-04-30,-36.79930649645911
2023-05-31,-39.21305254350733
2023-06-30,-57.811364103725
2023-07-31,-105.03116124320147
2023-08-31,-63.261950427294636
2023-09-30,-32.385963985024915
2023-10-31,
